name,ascencion_document_number,ascencion_document_date,ascencion_year,photo_url,birth_date,birth_place,death_date,death_place,burial_place,description
Dr. K.R.T. Radjiman Wediodiningrat ,No Sk 68 / TK / Tahun 2013,6 November 2013,2013,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/157.jpg,21 April 1879,"Yogyakarta, Indonesia",20 September 1952,"Ngawi, Jawa Timur, Indonesia","Mlati, Sidoarum, Yogya","Radjiman Wediodiningrat dalam perjuangannya lebih dikenal sebagai ketua Badan Penyelidik Usaha-usaha Persiapan Kemerdekaan Indonesia, karena Ia merupakan salah satu peletak dasar negara Republik Indonesia.Perjuangan Radjiman telah di mulai jauh sebelum jaman Jepang. Ia Berjuang bersama Budi Utomo mempertahankan prinsip perjuangan Budi Utomo yang bersifat kebudayaan.Pada tahun 1918 Ia menjadi salah seorang anggota Volksraad (Dewan Rakyat) bentukan pemerintah Hindia Belanda dan duduk selama beberapa periode hingga tahun 1931 sebagai wakil dari Budi Utomo.Pada zaman pendudukan Jepang, Radjiman duduk sebagai anggota Syu Sangi Kai (Dewan Pertimbangan Daerah) Madiun, kemudian Radjiman diangkat menjadi anggota Chuo Sangi-In (Dewan Pertimbangan Pusat) pada tahun 194). Ketika Poetera (Poesat Tenaga Rakjat) diabentuk, Radjiman menjadi anggota Majelis Pertimbangan Poetera.Pada awal kemerdekaan, Ia menjadi anggota KNIP (Komite Nasional Indonesia Pusat) dan kemudian anggota Dewan Pertimbangan Agung Republik Indonesia.Pemimpin sidang DPR pertama saat Indonesia menjadi NKRI. Radjiman juga dikenal sebagai dokter ahli penyakit pes."
Lambertus Nicodemus Palar ,No Sk 68 / TK / Tahun 2013,6 November 2013,2013,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/158.jpg,5 Juni 1900,"Rurukan, Tomohon,Sulawesi Utara",12 Februari 1981,"Jakarta,Indonesia","Tanah Kusir, Jakarta","Diplomat, Perunding dalam Usaha Pengakuan Internasional Kemerdekaan Indonesia. Duta Besar RI untuk PBB. Duta Besar RI di India, Jerman Timur, Uni Soviet, Amerika Serikat.Aktivitas politik Palar diawali di kota Amsterdam. Pada tahun 1930, Palar aktif menjadi anggota Social Democratische Arbeider Partij (SDAP), ia juga menjabat sebagai sekretaris Komisi Kolonial SDAP dan Nederlands Verbond van Vakvereniginen (NVV) pada Oktober 1933.Selama Perang Dunia II, Palar tidak lagi bekerja untuk SDAP, ia beraktivitas dalam laboratorium Van der Waals, sambal mengajar bahasa Melayu. Setelah perang berakhir ia aktif dalam Partij van de Arbeid(PvdA) dan terpilih menjadi anggota Twede Kamer.Pada tahun 1947, Palar mulai merintis upaya pengakuann internasional terhadap kemerdekaan RI. Mewakili RI di PBB meski Indonesiia belum menjadi anggota PBB.Setelah pengakuan kedaulatan kemerdekaan dan Indonesia menjadi anggota PBB ke-60 pada 1950, Palar menjadi perwakilan resmi RI pertama dengan status keanggotaan penuh."
Letnan Jenderal (Purn) Tahi Bonar Simatupang ,No Sk 68 / TK / Tahun 2013,6 November 2013,2013,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/159.jpg,28 Januari 1920,Si,1 Januari 1990,"Jakarta,Indonesia",TMPN Utama Kalibata,"Letnan Jenderal Tahi Bonar Simatupang (TB Simatupang) adalah tokoh militer dan salah satu pencetak awal Fondasi tentara Indonesia.Pernah menjabat sebagai wakil Kepala Staf Angkatan Perang 1948 -1949 dan menjabat Kepala Staf Angkatan Perang (KSAP) 1950-1954 setelah Panglima Jenderal Soedirman wafat 1950 pada usia 29 tahun.Letnan Jenderal TB Simatupang pada tahun 1949 Simatupang ikut terlibat mewakili tentara Indonesia bersama tokoh Indonesia Drs Mohammad Hatta, Mr. Moh Roem, Prof Dr. Mr Supomo, dr. J Leitnena, Mr. Ali  Sastroamijojo,  Ir  Juanda, Dr Sukiman, Mr Suyono Hadinoto, Dr. Sumitro Djojohadikusumo, Mr Abdul Karim Pringgodigdo, Mr Muwardi untuk menghadiri perundingan yang mewakili Indonesia dengan  Belanda yang dikenal Konferensi  Meja  Bundar pada 1949.Letnan Jenderal TB Simatupang, pasca pensiun dari militer, aktif dalam aktivitas gereja dan menjadi Ketua Dewan Gereja Se Asia dan Dunia.Aktif juga di bidang Pendidikan dengan mendirikan Yayasan Manajemen 1967 bersama Prof. Dr. Bahder Djohan (golongan Islam), Dr AM Tambunan (golongan Kristen), I.J Kasimo (golongan Katolik). Kemudian Simatupang menjabat sebagai Ketua Yayasan yang membawahi Institut Pendidikan dan Pembinaan Manajemen ( IPPM )."
Letnan Jenderal (Purn) Jamin Gintings ,No Sk 115 / TK / Tahun 2014,6 November 2014,2014,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/160.jpg,12 Januari 1921,"Desa Suka, Kabanjahe, Tanah Karo, Sumatera Utara",23 Oktober 1974,"ottawa, Kanada",TMPN Utama Kalibata,"Jamin Gintings mengikuti pendidikan calon perwira Gyugun di soborong-borong hingga menjadi perwira Gyugun. Karirnyameningkat menjadi komandan Batalyon I Resimen II TRI ditanjung Balai dan pada saat yang sama juga dipilih menjadi ketua Biro Perjuangan Daerah XXXIX  Sumatera.Djamin Gintings adalah salah seorang komandan Pasukan Indonesia dalam pertempuran Medan Area melawan Pasukan Inggris di Sumatera Timur.Setelah Perang Kemerdekaan, Djamin Gintings menggerakkan pasukannya untuk bertempur melawan Belanda di Medan Area, Langkat dan Tanah Karo sampai ke Tanah Alas. Ketika hijrah ke Tanah Alas, Damin Gintings membangun Kilang Senjata.Dikenal sebagai tokoh yang anti Komunis yang menumpas gerakan Organisasi Pertahanan Desa (OPD) yang dipengaruhi Ideologi Komunis.Pada masa perang Gerilya, Jamin Gintings telah membuktikan kemampuannya dengan menjaga Tanah Alas (Aceh) yang merupakan salah satu “daerah modal” yang masih tersisa, dari upaya Belanda menguasai sepenuhnya Indonesia. Hal ini dianggap penting, mengingat walau secara politis pusat pemerintahan RI di Yogyakarta dan Ibukota Provinsi di Siantar telah diduduki, serta Soekarno Hatta ditawan Belanda."
Mr. H.R. Moehammad Mangoendiprodjo ,No Sk 115 / TK / Tahun 2014,6 November 2014,2014,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/161.jpg,5 Januari 1905,Sragen,13 Desember 1988,Bandar Lampung,"Kalianda, Lampung","Seorang pamong praja yang memasuki dunia militer.Penugasan sebagai pamong praja dimulianya pada masa Hindia Belanda dengan jabatan asisten wedana (camat) di daerah Jombang, Jawa Timur, dan berakhir sebagai residen di Lampung. Kemudian memasuki militer pada masa pendudukan Jepang sebagai Daindancho (Komandan Batalion) Tentara Pembela Tanah Air (PETA) di Buduran, Sidoarjo.Perjuangan Mangoendiprojo berkaitan erat dengan revolusi di Surabaya pada 1945. Ia juga pernah menjadi bendahara Badan Keamanan Rakayat (BKR) Keresidenan Surabaya, anggota Badan Pekerja Komite Nasional Indonesia (BPKNI) Keresidenan Surabaya. Mangoendiprojo diangkat menjadi anggota staff Urusan Angkatan Darat.Mangoendiprojo mempunyai andil besar dalam mengambil alih asset pribadi orang-orang Belanda yang tersimpan di Bank Escompto, uang tersebut digunakan untuk kepentingan perjuangan. Ia kemudian menjadi anggota Kontak Biro dan juga menjadi ketua Dewan Pertahanan Ri-Surabaya.Mangoendiprojo dipindahkan ke staf Kementerian Pertahanan, sebagai penasihat Menteri. Kemudian pada tahun 1948, ia diposisikan sebagai anggota militer luar formasi, dengan pangkat kolonel cadangan.Sesudah pengakuan kedaulatan, ia dikembalikan ke profesi awal sebagai pamong praja. Kemudian tahun 1950 ia diangkat sebagai Bupati Ponorogo dan lima tahun kemudian menjadi Residen Lampung."
Sukarni Kartodiwirjo ,No Sk 115 / TK / Tahun 2014,6 November 2014,2014,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/162.jpg,14 juli 1916,Desa Sumber,7 Mei 1971,null,TMPN Utama Kalibata,"Sukarni adalah sosok yang mewakili kelompok muda agar pasangan Soekarno-Hatta secepatnya mem-proklamasikan kemerdekaan negara pada 17 Agustus 1945. Saat usia 14 tahun, dia sudah bergabung dengan organisasi perhimpunan Indonesia Muda. Sejak itulah, sikap pejuang, kritis, dan tanpa kompromi semakin muncul. Sampai ketika Sukarni didaulat menjadi Ketua Pengurus Besar Indonesia Muda.Tahun 1934 Sukarni berhasil menjadi Ketua Pengurus Besar Indonesia Muda, sementara itu Belanda mulai mencurigainya sebagai anak muda militan. Tahun 1936 pemerintah kolonial melakukan penggerebekan terhadap para pengurus Indonesia Muda, tetapi Sukarni sendiri berhasil kaburSukarni membentuk Comite Van Aksi (panitia gerak cepat) pada 18 Agustus 1945 yang tugasnya menyebarkan kabar kemerdekaan ke seluruh Indonesia. Khusus untuk para pemudanya dibentuk API (Angkatan Pemuda Indonesia) dan untuk buruh dibentuk BBI (Barisan Buruh Indonesia) yang kemudian melahirkan laskar buruh dan laskar buruh wanita.Sukarni menjabat sebagai ketua umum. Dia juga duduk sebagai anggota Badan pekerja KNI Pusat. Dalam pemilihan Umum yang pertama (1955) Sukarni terpilih sebagai anggota Konstituante."
K.H. Abdul Wahab Chasbullah ,No Sk 115 / TK / Tahun 2014,6 November 2014,2014,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/163.jpg,31 Maret 1888,"Jombang, Jawa timur",Tahun 1971,null,"Jombang,  Jawa Timur","Tokoh pejuang pergerakan nasional hingga kontemporer. Ia menyebarkan gagasan kemerdekaan yang diperolehnya di Taswirul Afkar.Ia mempunyai ketertarikan yang tinggi terhadap gagasan kemerdekaan dari para tokoh Sarekat Islam dan  mendirikan Sarekat Islam cabang Mekah.Mendirikan organisasinya dengan menggunakan istilah kebangkitan dan tanah air, misalnya Nahdatul Wathan (Kebangkitan Tanah Air) dan madrasah Sjubbanul Wathan (Pemuda Tanah Air), madrasah Nahdlatul Tujar (Kebangkitan Pedagang) dan Nahdatul Ulama (Kebangkitan Ulama).Pada  1916  menjadikan rumahnya di Surabaya sebagai sekretariat organisasi Nahdlatul Wathan (Kebangkitan Tanah Air) yang didirikannya bersama KH Mas Mansur dari Muhammadiyah.Pada tahun 1926 ia menyelenggarakan Kongres al-Islam dan mendirikan Nahdaltul Ulama (Kebangkitan Ulama).K.H. Abdul Wahab Chasbullah menjadi salah satu pimpinan Majelis Islam ‘Ala Indonesia (MIAI) yang berdiri pada 12 September 1937 di Surabaya.K.H. Abdul Wahab Chasbullah pada tahun 1947 menjadi Rais Am (Ketua Umum) PBNU menggantikan KH Hasyim As’ari.K.H. Abdul Wahab Chasbullah membawa Partai NU tampil sebagai kekuatan penyeimbang antara Partai Nasional Indonesia (PNI) dan Partai Komunis Indonesia (PKI)."
Bernard Wilhelm Lapian ,No Sk 116 / TK / Tahun 2015,4 November 2015,2015,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/164.jpg,30 juni 1892,Minahasa Sulawesi Utara,tahun 1977,null,TMPNU Kalibata,"Semasa bekerja di Batavia, B.W Lapian menulis di surat kabar Pangkal Kemadjoean yang memperlihatkan sikap nasionalis untuk membebaskan warga Indonesia dari kolonialisme. Ia kemudian mendirikan surat kabar Fadjar Kemadjoean (1924-1928) yang berkaitan dengan kesejahteraan rakyat dan sekembali ke Kawangkoan pada tahun 1940, ia menerbitkan Semangat Hidoep yang isinya mengobarkan perlawanan terhadap propaganda Kolonial.Pada tahun 1930-1934 menjadi anggota Dewan Minahasa dan memperjuangan pembangunan fasilitas publik, infrastruktur, rumah sakit, dan lainnya bagi kepentingan masyarakat. Ia juga anggota Kerapatan Gereja Protestan Minahasa (KGPM), dan juga anggota Volksraad yang tergabung dalam Fraksi Nasional.Semasa pendudukan Jepang ia pernah menjadi Gunco (Kepada Distrik), dan pada tahun 1945 menjadi Walikota Manado. Pada 14 Febuari 1946 ia mengibarkan bendera merah putih dan peristiwa ini tersiar melalui radio ke seluruh dunia.Pada masa setelah kemerdekaan tahun 1950, Lapian aktif sebagai Gubernur Sulawesi Utara dan membantu menyelesaikan masalah perlawanan Kahar Muzakar secara damai."
Mas Isman ,No Sk 116 / TK / Tahun 2015,4 November 2015,2015,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/165.jpg,1 januari 1924,"Bondowoso, Jawa Timur",tahun 1982,null,TPU Tanah Kusir,"Mas Isman adalah seorang pejuang kemerdekaan yang menentang pemerintahan Hindia Belanda di Jawa Timur.Pada 22 September 1945, pasukan perlajar dilantik oleh Sungkono di Sekolah Darmo, Surabaya. Mas ISman diangkat menjadi komandan BKR Pelajar Surabaya yang diresmikan pada 19 Oktobere 1945. Perjuangannya dimulai dengan pernyataan “Soempah Keboelatan Tekad” mempertahankan kedaulatan bangsa Indonesia.Mas Isman kemudian menjadi pemimpin organisasi TRIP, selain berjuang mengangkat senjata, TRIP juga melakukan tugas-tugas kemasyarakatan yaitu meberikan penereangna dan penyuluhan mengenai kebersihan, kesehatan, pendidikan, dan kemerdekaan tanah air.Mas Isman juga berkontribusi dengan mendirikan Koperasi SImpang-Pinjam Gotong Royong (Kosgoro) pada tanggal 10 November 1957. manjadi anggota delegasi RI untuk berunding di Perserikatan Bangsa Bangsa pada tahun 1958 dan menjadi diplomat, kepala Perwakilan RI di Rangoon-Birma pada tahun 1959, Duta Besar di Bangkok - Thaiand (1960-1964) dan Kairo Mesir (1964-1967).Selama menjabat sebagai anggota DPR/MPR RI selama 1978-1982, ia tetap aktif berkiprah dalam bidang organisasi kemasyarakatan, pendidikan (pendirian SMK dan sekolah Kosgoro) dan kemanusiaan."
I Gusti Ngurah Made Agung ,No Sk 116 / TK / Tahun 2015,4 November 2015,2015,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/166.jpg,5 April 1876,Puri Agung Denpasar Bali,20 September 1906,null,"Puri Satria, Denpasar","Seorang budayawan yang menjaga kebudayaan Bali. Dinobatkan  sebagai  Raja  Badung  VII  pada tahun  1902, sepanjang hidupnya Raja Badung VII menentang penjajahan Belanda.Setelah diangkat menjadi Raja Badung VII pada tahun 1902, ia langsung menolak untuk melanjutkan isi Perjanjian Kuta antara raja- raja di Bali dengan Pemerintah Kolonial Hindia Belanda yang ditandatangani pendahulunya pada 13 Juli 1849.sepanjang hidupnya ia tetap konsisten dalam perjuangan menentang penjajahan Belanda. Penentangan itu dilakukan secara fisik maupun nonfisik melalui karya-karya sastranya yang dapat membangkitkan semangat perjuangan.Sosok pemimpin yang memilih untuk berperang melawan pasukan Belanda hingga gugur di medan perang pada pertempuran tanggal 20 September 1906 yang dikenal dengan nama Puputan Badung. Karena gugur di medan perang, ia diberi gelar kehormatan Ida Betara Tjokorda Mantuk Ring Rana (Raja yang gugur di medan perang).Perjuangannya memberikan banyak inspirasi kepada rakyat Bali untuk melakukan perang puputan selanjutnya, seperti yang dilakukan oleh pasukan I Gusti Ngurah Rai dalam Puputan Margarana melawan pasukan Belanda pada bulan November 1946."
Komjen Pol. (Purn) DR. H. M. Jasin ,No Sk 116 / TK / Tahun 2015,4 November 2015,2015,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/167.jpg,9 juni 1920,"Bau Bau, Button, Sulawesi Tenggara",3 Mei 2012,Rumah Sakit Polri Soekamto,TMPNU Kalibata,"Aktif dalam perjuangan kemerekaan, memproklamasikan Polisi Istimewa menjadi Polisi Indonesia pada tanggal 21 Agustus1945. selain berkiprah di lingkungan kepolisian, jasin juga pernah diangkat sebagai anggota Dewan Pertimbangan Agung (DPA), anggota Majelis Permusyawaratan Rakyat Sementara (MPRS) dan kemudian MPR.Jasin mengikuti pendidikan kepolisian di Sekolah Polisi di Sukabumi. Selesai mengikuti pendidikan dengan pangkat Hoofd Agent, ia bertugas di Surabaya. Kemudian ia mengikuti pendidikan polisi ala Jepang yang bercirikan pendidikan militer. Kemudian Jasin ditempatkan di Gresik dan bertugas sebagai instruktur di Sekolah Polisi.Setelah Indonesia merdeka ia terlibat akif dalam perjuangan kemerdekaan. Tindakan momentelanya ialah memproklamasikan Polisi Istimewa menjadi Polisi Indonesia.Jasin juga berperan dalam perebutan senjata, diantaranya adalah perbutan senjata di Don Bosco, dan di markas Kempeitai. Jasin dan pasukannya ikut dalam pertempuran Surabaya yang berfungsi sebagai alat keamanan dan alat pertahanan.Jasin juga merupakan Komandan Mobiele Brigade Besar (MBB) yang berganti nama menjadi Brigade Mobile (Brimob) berperan dalam menumpas PKI bersama TNI."
Ki Bagus Hadikusumo ,No Sk 116 / TK / Tahun 2015,4 November 2015,2015,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/168.jpg,21 November 1890,Yogyakarta,7 September 1954,Yogyakarta,TPU Pakuncen Yogyakarta,"Perjuangan dan pemikiran Ki Bagus Hadikusumo tidak dapat dilepaskan dari Muhammadiyah, ia dibesarkan oleh dan sekaligus juga membesarkan muhammadiyah. Pada tahun 1938 ia turut mendirikan Partai Islam Indonesia (PII), Ki Bagus Hadikusumo dikenal sebagai seorang ulama yang teguh berpegang pada akidah dan hukum Islam.pada masa perang kemerdekaan, dengan dukungan beberapa tokoh Muhammadiyah, Ki Bagus memprakarsai pembentukan angkatan perang stabil yang diresmikan pada bulan Juli 1948.Pada masa pendudukan Jepang, Ki Bagus megeluarkan maklumat yang melarang rakyat Indonesia melakukan seikeirei, akkhir pendudukan Jepang, ia menjadi anggota BPUPKI dan memperjuangakan agar Islam dijadikan dasar negara yang akan didirikan, menolak penghapusan 7 kata dalam Piagam Jakarta.Sesudah perang kemerdekaan berakhir Ki Bagus menjadi anggota Dewan Perwakilan Rakyat (DPR) mewakii Masyumi.Ki Bagus dihadiahi tanda kehormatan berupa Bintang Mahaputera Adipradana dan Bintang Republik Indonesia Utama."
K.H.R. Asad Syamsul Arifin ,No Sk 90 / TK / Tahun 2016,3 November 2016,2016,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/169.jpg,1897,"Mekkah, Sau",4 Agustus 1990,Situbondo,"Situbondo, Jawa Timur","KH.R. As’ad Syamsul Arifin merupakan seorang ulama besar sekaligus salah satu tokoh pendiri Nahdlatul Ulama (NU)  Beliau adalah pengasuh pondok pesantren Salafiyah Syafi’iyah Situbondo.KH.R. As’ad Syamsul Arifin menanamkan semangat perjuangan dan dakwah Islamiyah melalui barisan pelopor. Kemudian ia membentuk Hizbullah dan Syabilillah. Pada September dan awal Oktober 1945 Kyai As’ad memimpin pelucutan Pasukan Jepang di Garahan, Jember Jawa Timur.Pada September dan awal Oktober 1945, Kyai As’ad memimpin pelucutan Pasukan Jepang di Garahan, Jember, Jawa Timur.Pada 10 November 1945, ia membantu pertempuran di Surabaya dengan mengirim anggota pelopor dan pasukan Syabilillah Situbondo serta yang berasal dari Bondowoso ke daerah Tanjung Perak.Pada masa revolusi fisik tahun 1945-1949, Kyai  As’ad  Syamsul  Arifin  memimpin  perang gerilya di beberapa daerah Karesidenan Besuki.Pada tahun 1975, ia ikut mendirikan Majelis Ulama Indonesia (MUI). Pada tahun- tahun berikutnya sampai meninggal dunia tahun 1990, Kyai As’ad Syamsul Arifin lebih banyak mengembangkan pendidikan di pondok pesantren yang dipimpinnya.Kyai As’ad Syamsul Arifin wafat pada tanggal  4  Agustus  1990   dan   dimakamkan di Situbondo, Jawa Timur."
TGKH.Muhammad Zainuddin Abdul Madjid ,No Sk 115 / TK / Tahun 2017,6 November 2017,2017,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/170.jpg,19 April 1908,"Kampung Bermi, Pancor Lombok Timur","21 Oktober 1997","Pancor , Lombok Timur","Komplek Musholla Al Abror, Pondok Pesantren Darunna","Muhammad Zainuddin Abdul Madjid adalah  pahlawan nasional asal Nusa Tenggara Barat.Pada tahun 1936 ia mendirikan  madrasah Nahdhatul Wathan Diniyah Islamiyah (NWDI) dengan sistem   klasikal.  lembaga pendidikan (pesantren dan madrasah) bukan sekedar tempat belajar mengajar, akan tetapi juga tempat menyiapkan pemimpin; menyemai dan memperkokoh karakter, patriotism dan nasionalisme.Pada tahun 1947  membentuk sebuah kelaskaran Mujahidin, sama dengan nama pesantren yang ia dirikan. Kelasykaran ini selain masyarakat juga terdiri dari para santri, murid-murid dan guru-guru pesantren dan madrasah yang ia pimpin. Di bawah pimpinan adik kandungnya, kelaskaran ini melakukan penyerangan terhadap tangsi NICA pada tahun 1947.Pada tahun 1953 ia mendirikan sebuah organisasi Islam Nahdhatul Wathan. Ini adalah organisasi Islam terbesar di Lombok yang memberikan perhatian kepada pendidikan dan agama dengan pengaruhnya yang sangat besar. Pengaruh dalam bidang pendidikan sangat terasa. Semenjak pesantren dan madrasah yang ia dirikan, hingga saat ini sektor pendidikan mengalami perkembangan yang sangat cepat."
Laksamana Keumalahayati ,No Sk 115 / TK / Tahun 2017,6 November 2017,2017,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/171.jpg,1550,Aceh Besar,1615,null,Desa Lamreh Kecamatan Krueng Raya Kabupaten Aceh Besar,"Laksamana Malahayati adalah anak dari Laksamana Mahmud Syah, cucu Laksamana Said Syah dan cicit dari Sultan Aceh, Sultan Salahudin Syah yang memerintah 1530-1539. Semangat wira samudra ini merupakan warisan dari ayah dan kakeknya yang juga menjadi panglima angkatan laut Kesultanan Aceh. Kisah perjuangan Keumalahayati dimulai pasca terjadinya peristiwa pertempuran Teluk Haru antara armada laut Portugis melawan armada laut Kesultanan Aceh.Setelah kematian suaminya dalam pertempuran Teluk Haru, Malahayati membentuk dan memimpin pasukan Inong Balee yang berasal dari janda para prajurit Aceh yang gugur dalam perang, dan Malahayati diangkat menjadi laksamana, wanita Aceh pertama yang menyandang pangkat laksamana. Pasukan Inong Balee ini mahir menembakan meriam dan memiliki benteng yang berada dibukit berketinggian 100 meter.21 Juni 1599, Malahayati memimpin armada laut Kesultanan Aceh untuk meghadapi upaya para pedagang Belanda yang memaksakan kehendaknya dalam perdangangan dengan Keslutanan Aceh. Peristiwa tersebut menyebabkan Cornelis De Houtman dan beberapa pelaut Belanda tewas."
Sultan Mahmud Riayat Syah ,No Sk 115 / TK / Tahun 2017,6 November 2017,2017,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/172.jpg,Agustus 1760,"Hulu Sungai Riau",12 Januari 1812,null,Daik Lingga,"Sultan Mahmud Riayat Syah adalah raja kedelapan sekaligus raja terakhir dari Kesultanan Melaka. Dia terpilih menjadi raja menggantikan ayahnya, Sultan Alauddin Riayat Syah ISultan Mahmud Riayat Syah terkenal dengan Perang Gerilya LautPada 1782 Sultan Mahmud Riayat Syah dan Yang Dipertuan Muda IV Raja Haji memerangi Belanda yang hendak menanamkan pengaruhnya di Riau-Lingga. Perang Riau I itu berlangsung pada 1782—1784. Pasukan Sultan Mahmud Riayat Syah berhasil mengalahkan pasukan Belanda di Tanjungpinang dan sekitarnya dalam suatu peperangan yang sangat dahsyat sehingga menjatuhkan banyak korban di pihak Belanda. Dalam perang itu pasukan Riau-Lingga dapat meledakkan kapal komando Belanda Malaka’s Walvaren."
Prof.Drs.H.Lafran Pane ,No Sk 115 / TK / Tahun 2017,6 November 2017,2017,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/173.jpg,12 April 1923,"Sipirok Padang Sidempuan Sumatera Utara",24 Januari 1991,Yogyakarta,"Karang Kajen, Yogyakarta","Keikutsertaan Lafran dalam memperjuangkan kemerdekaan di bawah bimbingan kedua kakak kandungnya yaitu Armijn Pane dan Sanusi Pane yang dikenal sebagai tokoh muda pergerakan nasional. Organisasi perjuangan yang diikutinya adalah Barisan Pemuda Gerindo dan Indonesia Muda.Selama menjadi mahasiswa STI, ia memprakarsai pembentukan Himpunan Mahasiswa Islam (HMI). Organisasi ini berdiri pada tanggal 5 Februari 1947 di Yogyakarta. Pembentukan HMI sangat penting karena menjadi organisasi yang menghimpun kontribusi para mahasiswa untuk mempertahankan kemerdekaan bangsa Indonesia. Di bawah pengaruhnya, orientasi HMI menjadi nasionalis sehingga HMI mendukung ideologi Pancasila. Organisasi HMI menolak gagasan pembentukan Negara Islam yang digagas Sekarmadji Maridjan Kartosoewirjo, pendiri gerakan Darul Islam.Lafran menjadi tokoh yang menentang PKI, ia memelopori pembentukan Ikatan Sarjana Muslimin Indonesia (ISMI) yang memberikan dukungan kepada Pangkostrad/Pangkopkamtib Letjen Soeharto untuk menumpas G30S/PKI.Lafran berprofesi sebagai dosen di UGM dan menjadi Guru Besar."
Depati Amir ,No Sk 123/TK/Tahun 2018,6 November 2018,2018,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/174.jpg,1805,"Mendara, Pulau Bangka",28 September 1869,"Kupang, nusa tenggara timur",Pemakaman Muslim Batukaradenan Kupang,Depati Amir merupakan sosok yang begitu gigih menentang keberadaan Belanda utamanya di tanah Bangka.Ia merupkan seorang ahli dalam menyusun strategi perang dan mengkoordinasikan pasukan membuat Belanda resah karena selalu kalah. Berbagai taktik Belanda untuk menangkap Depati Amir terus mengalami kegagalan.Memimpin pertempuran melawan Belanda pada 1849-1851. Ia menentang Belanda yang berniat menguasai pertambangan berupa timah di Bangka hingga akhirnya perang pun meletus.Depati Amir berhasil mempersatukan etnis china dan pribumi dalam perang melawan Belanda yang berniat menguasai pertambangan berupa timah di Bangka.
Abdurrahman Baswedan ,No Sk 123/TK/Tahun 2018,6 November 2018,2018,https://direktoratk2krs.kemsos.go.id/admin-pc/assets/img/pahlawan/175.jpg,9 September 1908,null,16 Maret 1986,null,TPU Tanah Kusir,"Abdurrahman Baswedan terlibat dalam dunia pergerakan dengan mengusung cita-cita mewujudkan bangsa Indonesia yang merdeka dan berdaulat.Awalnya ia menjadi juru dakwah Muhamadiyah dan juga aktif dalam Jong Islamieten Bond (JIB).Ia secara konsisiten memperjuangkan integrasi keturunan Arab ke dalam bangsa Indonesia. Perjuangannya itu dilakukan melalui dunia jurnalistik, yaitu dengan tulisan-tulisannya di berbagai surat kabar untuk meyebarkan pemikirannya bahwa keturunan Arab mempunyai kewajiban yang sama untuk memperjuangkan kemerdekaan bangsa Indonesia, diantaranya Harian Sin Tit Po, Suara Umum dan Harian MarahariAbdurrahman merupakan inisiator Kongres Peranakan Arab pada tahun 1943 kemudian memimpin Partai Arab Indonesia PAI, dan juga di anggota BPUPKI. Ia juga anggota dalam misi diplomasi RI ke negara Arab dan Mesir. Setelah Proklamasi 1945, Abdurrahman bergabung ke dalam Partai Masyumi, menjadi Menteri Muda Penerangan Kabbinet Sjahrir kedua, dan juga mewakili Masyumi dalam parlemen (KNIP dan DPR) serta Badan Konstiruante hasil Pemilu 1955.Setelah keluar dari dunia politik di tahun 1960, Abdul Rahman Baswedan mengalihkan perjuangannya ke dalam dunia pendidikan, dakwah, dan budaya."
